Day,January,February,March,April,May,June,July,August,September,October,November,December
1,115,145,250,74,,89,34,46,79,110,203,100
2,136,84,263,79,46,78,35,39,96,94,214,88
3,245,92,273,148,34,88,60,32,93,55,203,98
4,315,101,217,122,96,77,59,40,51,96,193,198
5,332,110,147,94,69,77,46,44,73,96,143,178
6,311,167,114,115,95,81,52,43,43,96,156,45
7,219,158,110,109,132,82,32,46,54,94,161,34
8,139,121,96,63,123,84,30,64,38,94,180,64
9,143,109,91,135,102,70,30,72,33,104,201,88
10,146,138,77,79,144,85,56,75,37,102,194,87
11,176,136,95,81,114,67,40,71,51,121,216,118
12,220,94,94,188,105,61,40,73,58,124,208,182
13,221,110,128,187,107,68,43,65,54,129,207,138
14,130,92,137,130,116,73,49,66,41,122,194,97
15,151,122,112,78,92,64,56,66,32,173,227,97
16,195,115,108,129,71,73,50,52,26,176,214,120
17,221,103,81,120,73,83,35,78,42,148,222,110
18,161,132,68,130,72,113,32,58,52,105,182,92
19,217,228,62,,85,109,40,40,62,126,170,80
20,253,209,62,99,79,97,34,36,49,111,153,91
21,,221,100,83,99,87,34,54,43,126,156,128
22,209,117,110,69,66,87,29,53,38,125,167,114
23,185,186,158,61,105,58,25,45,51,114,218,160
24,204,128,146,68,79,47,34,40,50,115,246,216
25,135,111,165,66,91,58,45,47,50,124,284,311
26,138,126,115,53,91,53,34,56,59,146,294,266
27,192,163,110,60,88,43,46,58,69,155,279,232
28,221,198,206,49,107,44,32,107,73,146,186,260
29,252,,134,73,61,44,32,126,74,154,87,244
30,287,,107,38,72,31,50,95,67,187,94,269
31,290,,105,,82,,38,83,,225,,251
 ,,,,,,,,,,,,
Good,,,,2,2,5,26,12,13,,,2
Satisfactory,,4,10,16,18,23,5,17,17,7,2,11
Moderate,14,21,16,11,10,2,,2,,23,13,10
Poor,13,3,5,,,,,,,1,15,7
Very poor,3,,,,,,,,,,,1
Severe,,,,,,,,,,,,
,1,,,1,1,,,,,,,
SP,,,,,,,,,,,,
% of Availability,96,100,100,96,96,100,100,100,100,100,100,100
