Day,January,February,March,April,May,June,July,August,September,October,November,December
1,91,51,105,84,96,131,37,,68,81,158,333
2,92,80,100,95,,174,44,80,70,98,183,324
3,91,107,101,,152,142,36,84,85,97,148,342
4,101,55,68,98,150,135,42,93,54,81,138,334
5,103,67,62,98,141,129,29,82,84,75,219,329
6,117,,71,83,132,128,,62,88,42,256,276
7,110,,75,76,201,133,42,41,69,46,179,221
8,102,,,77,238,124,37,39,76,57,181,121
9,93,107,,71,248,105,30,31,,53,153,160
10,60,82,108,59,196,82,35,25,85,39,207,179
11,79,87,75,67,172,97,35,20,59,56,211,255
12,72,72,,70,169,93,33,36,40,61,235,234
13,,87,53,151,127,85,,37,28,64,216,214
14,91,101,75,132,124,85,27,30,31,52,135,153
15,82,93,78,128,143,82,20,28,26,71,201,106
16,80,98,60,112,104,57,40,29,41,83,159,182
17,85,92,75,172,182,55,53,38,43,69,158,152
18,92,107,92,189,159,62,22,76,61,52,165,95
19,73,101,92,162,152,41,31,42,64,72,110,130
20,86,80,109,141,95,,47,59,66,143,,172
21,82,76,108,219,,39,57,58,52,171,208,201
22,95,91,77,186,141,68,53,50,68,137,232,212
23,74,81,84,146,138,108,30,72,75,97,214,266
24,179,85,101,107,157,70,26,62,45,107,189,266
25,,69,87,127,164,64,29,45,73,198,174,257
26,,77,92,153,134,63,45,56,71,166,159,258
27,,86,93,157,120,,45,56,56,,172,244
28,,85,87,181,111,63,47,72,61,143,,220
29,,,61,124,,59,66,60,78,161,252,119
30,,,54,112,,,64,66,97,150,277,210
31,,,71,,149,,62,76,,211,,211
 ,,,,,,,,,,,,
Good,,,,,,2,23,14,7,3,,
Satisfactory,17,20,22,11,2,15,6,16,22,17,,1
Moderate,6,5,6,17,22,10,,,,9,16,10
Poor,,,,1,3,,,,,1,12,15
Very poor,,,,,,,,,,,,5
Severe,,,,,,,,,,,,
,8,3,3,1,4,3,2,1,1,1,2,
SP,,,,,,,,,,,,
% of Availability,74,89,90,96,87,90,93,96,96,96,93,100
